ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,45,26032,467,Employed,Associate,24,17499,36,Divorced,4,Mortgage,581,0.23131078399389507,3,3,0.1677948754822763,0,Education,0,25,14,2540,665,30050,1749,2169.3333333333335,0.704785929274909,7,28301,0.268999,0.2587266314276737,703.8591139641082,0.592282935140185,0,52.0
2018-01-02,38,47162,552,Employed,High School,16,27728,60,Single,3,Mortgage,365,0.6488074136588605,3,0,0.2628667332556727,0,Home,0,30,24,2158,127,37462,453928,3930.1666666666665,0.9126533030070821,8,1480,0.256728,0.2424139887793326,801.5680576114028,0.29682406792198873,0,55.0
2018-01-03,47,26925,548,Self-Employed,Doctorate,26,14069,48,Married,0,Mortgage,571,0.19648355716779117,2,0,0.3305294050108002,0,Auto,0,20,9,1102,1615,85500,35803,2243.75,0.6802662343089624,5,49697,0.235069,0.24682968777464845,464.00338736888745,0.4612828467382228,0,59.0
2018-01-04,58,51278,583,Employed,Bachelor,36,40059,36,Single,1,Mortgage,361,0.39379577638449403,2,1,0.2687181441963335,0,Home,0,20,22,946,1931,50862,78937,4273.166666666667,0.8811739000759408,6,4204,0.233559,0.24907610836820596,1590.7820973207247,0.45675309426749666,0,52.0
2018-01-05,37,179937,625,Employed,Bachelor,18,34774,48,Single,3,Rent,701,0.524537707243813,5,2,0.318858329161568,0,Debt Consolidation,0,24,10,1355,8575,75785,36364,14994.75,0.8945497431412873,4,39421,0.21727400000000002,0.26072880000000004,1173.9119082934183,0.12503789048122965,1,40.0
2018-01-06,37,81589,547,Employed,High School,14,29265,48,Married,2,Other,357,0.06645330236229355,4,1,0.27668801852433117,0,Debt Consolidation,0,28,12,7864,2524,21768,6077,6799.083333333333,0.877577153382061,5,15691,0.25076499999999996,0.2832121085904033,1025.3340722447927,0.2033118296208743,0,50.0
2018-01-07,58,144165,577,Employed,Associate,35,32748,120,Married,3,Rent,151,0.15747057283687318,1,0,0.6813012520282408,0,Home,0,22,28,16369,395,30052,40338,12013.75,0.7963105438657676,4,9086,0.299248,0.314417386422672,898.3667490649135,0.08734714381978263,0,55.0
2018-01-08,49,73477,455,Employed,Associate,28,15171,72,Married,3,Mortgage,451,0.20434461380249266,4,0,0.1672195961629757,1,Home,0,31,26,15150,141,64535,7203,6123.083333333333,0.7529637266746162,3,57332,0.302671,0.2953751486835963,451.8932326101254,0.14745728311337566,0,60.0
2018-01-09,34,85816,515,Employed,High School,10,16158,60,Single,4,Rent,136,0.3793879110294676,2,1,0.3470643015315362,0,Auto,0,25,14,4783,106,77360,33326,7151.333333333333,0.5231303689582703,4,44034,0.263658,0.21639742066716414,442.9630303850591,0.0809587532001108,1,42.400000000000006
2018-01-10,46,26333,490,Employed,High School,22,32087,84,Divorced,0,Own,195,0.16879914260215653,10,0,0.43368038922769286,0,Auto,0,17,12,1368,1151,74112,38513,2194.4166666666665,0.8920681757868144,8,35599,0.312087,0.2592887004211266,831.327434894068,0.46769943488128274,0,57.0
